Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1696809600000)/,ACI,260.2,260.2,260.2,260.2,0,0,65,0,0,0,09/10/2023 00:00:00,1696809600000
/Date(1696896000000)/,ACI,260.2,260.2,260.2,260.2,0,0,18,0,0,0,10/10/2023 00:00:00,1696896000000
/Date(1697328000000)/,ACI,260.2,260.2,260.2,260.2,0,0,3,0,0,0,15/10/2023 00:00:00,1697328000000
/Date(1697414400000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,16/10/2023 00:00:00,1697414400000
/Date(1697500800000)/,ACI,260.2,260.2,260.2,260.2,0,0,110,0,0,0,17/10/2023 00:00:00,1697500800000
/Date(1697673600000)/,ACI,260.2,260.2,260.2,260.2,0,0,3,0,0,0,19/10/2023 00:00:00,1697673600000
/Date(1697932800000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,22/10/2023 00:00:00,1697932800000
/Date(1698019200000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,23/10/2023 00:00:00,1698019200000
/Date(1698192000000)/,ACI,260.2,260.2,260.2,260.2,0,0,60,0,0,0,25/10/2023 00:00:00,1698192000000
/Date(1698278400000)/,ACI,260.2,260.2,260.2,260.2,0,0,4,0,0,0,26/10/2023 00:00:00,1698278400000
/Date(1698537600000)/,ACI,260.2,260.2,260.2,260.2,0,0,302,0,0,0,29/10/2023 00:00:00,1698537600000
/Date(1698624000000)/,ACI,260.2,260.2,260.2,260.2,0,0,382,0,0,0,30/10/2023 00:00:00,1698624000000
/Date(1698710400000)/,ACI,260.2,260.2,260.2,260.2,0,0,51,0,0,0,31/10/2023 00:00:00,1698710400000
/Date(1698796800000)/,ACI,260.2,260.2,260.2,260.2,0,0,12,0,0,0,01/11/2023 00:00:00,1698796800000
/Date(1699142400000)/,ACI,260.2,260.2,260.2,260.2,0,0,30,0,0,0,05/11/2023 00:00:00,1699142400000
/Date(1699228800000)/,ACI,260.2,260.2,260.2,260.2,0,0,182,0,0,0,06/11/2023 00:00:00,1699228800000
/Date(1699315200000)/,ACI,260.2,260.2,260.2,260.2,0,0,15,0,0,0,07/11/2023 00:00:00,1699315200000
/Date(1699401600000)/,ACI,260.2,260.2,260.2,260.2,0,0,9,0,0,0,08/11/2023 00:00:00,1699401600000
/Date(1699488000000)/,ACI,260.2,260.2,260.2,260.2,0,0,240,0,0,0,09/11/2023 00:00:00,1699488000000
/Date(1699747200000)/,ACI,260.2,260.2,260.2,260.2,0,0,141,0,0,0,12/11/2023 00:00:00,1699747200000
/Date(1699833600000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,13/11/2023 00:00:00,1699833600000
/Date(1699920000000)/,ACI,260.2,260.2,260.2,260.2,0,0,315,0,0,0,14/11/2023 00:00:00,1699920000000
/Date(1700006400000)/,ACI,260.2,260.2,260.2,260.2,0,0,133,0,0,0,15/11/2023 00:00:00,1700006400000
/Date(1700697600000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,23/11/2023 00:00:00,1700697600000
/Date(1700956800000)/,ACI,260.2,260.2,260.2,260.2,0,0,29,0,0,0,26/11/2023 00:00:00,1700956800000
/Date(1701043200000)/,ACI,260.2,260.2,260.2,260.2,0,0,42,0,0,0,27/11/2023 00:00:00,1701043200000
/Date(1701129600000)/,ACI,260.2,260.2,260.2,260.2,0,0,1362,0,0,0,28/11/2023 00:00:00,1701129600000
/Date(1701216000000)/,ACI,260.2,260.2,260.2,260.2,0,0,80,0,0,0,29/11/2023 00:00:00,1701216000000
/Date(1701302400000)/,ACI,260.2,260.2,260.2,260.2,0,0,147,0,0,0,30/11/2023 00:00:00,1701302400000
/Date(1701561600000)/,ACI,260.2,260.2,260.2,260.2,0,0,139,0,0,0,03/12/2023 00:00:00,1701561600000
/Date(1701648000000)/,ACI,260.2,260.2,260.2,260.2,0,0,10,0,0,0,04/12/2023 00:00:00,1701648000000
/Date(1701734400000)/,ACI,260.2,260.2,260.2,260.2,0,0,40,0,0,0,05/12/2023 00:00:00,1701734400000
/Date(1701820800000)/,ACI,260.2,260.2,260.2,260.2,0,0,35,0,0,0,06/12/2023 00:00:00,1701820800000
/Date(1701907200000)/,ACI,260.2,260.2,260.2,260.2,0,0,133,0,0,0,07/12/2023 00:00:00,1701907200000
/Date(1702166400000)/,ACI,260.2,260.2,260.2,260.2,0,0,159,0,0,0,10/12/2023 00:00:00,1702166400000
/Date(1702252800000)/,ACI,260.2,260.2,260.2,260.2,0,0,145,0,0,0,11/12/2023 00:00:00,1702252800000
/Date(1702339200000)/,ACI,260.2,260.2,260.2,260.2,0,0,14,0,0,0,12/12/2023 00:00:00,1702339200000
/Date(1702512000000)/,ACI,260.2,260.2,260.2,260.2,0,0,11,0,0,0,14/12/2023 00:00:00,1702512000000
/Date(1702771200000)/,ACI,260.2,260.2,260.2,260.2,0,0,3,0,0,0,17/12/2023 00:00:00,1702771200000
/Date(1702857600000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,18/12/2023 00:00:00,1702857600000
/Date(1702944000000)/,ACI,260.2,260.2,260.2,260.2,0,0,50,0,0,0,19/12/2023 00:00:00,1702944000000
